trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
98,False,"{'a': 0.94, 'e': 0.0023255712658709696}",25,6,33.8226493575144,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
99,False,"{'a': 0.94, 'e': 0.0021860369899187114}",25,15,-26.735547893181035,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 1}",1
100,False,"{'a': 0.94, 'e': 0.0020548747705235884}",20,6,23.850569717688714,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
101,False,"{'a': 0.94, 'e': 0.001931582284292173}",20,7,20.483089368778025,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
102,False,"{'a': 0.94, 'e': 0.0018156873472346426}",20,12,16.1355816821686,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
103,False,"{'a': 0.94, 'e': 0.001706746106400564}",35,20,22.457393504523047,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
104,False,"{'a': 0.94, 'e': 0.0016043413400165301}",25,3,41.30061217513359,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
105,False,"{'a': 0.94, 'e': 0.0015080808596155382}",20,0,31.073538507792755,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
106,False,"{'a': 0.94, 'e': 0.001417596008038606}",30,13,29.778710398017033,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
107,False,"{'a': 0.94, 'e': 0.0013325402475562896}",35,21,22.62027889919704,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
108,False,"{'a': 0.94, 'e': 0.0012525878327029122}",20,6,24.434843113958472,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
109,False,"{'a': 0.94, 'e': 0.0011774325627407374}",20,6,24.93191649751569,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
110,False,"{'a': 0.94, 'e': 0.001106786608976293}",25,11,30.19047244742362,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
111,False,"{'a': 0.94, 'e': 0.0010403794124377154}",25,17,12.848148927685786,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
112,False,"{'a': 0.94, 'e': 0.0009779566476914524}",20,10,18.360054081296376,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
1,True,"{'a': 0, 'e': 0}",20,13,13.3247856168545,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
2,True,"{'a': 0, 'e': 0}",25,12,21.367123679318386,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
3,True,"{'a': 0, 'e': 0}",25,4,28.617068150303652,"{0: 21, 1: 0, 2: 0, 3: 0, 4: 0}",1
4,True,"{'a': 0, 'e': 0}",25,2,28.762785433193024,"{0: 23, 1: 0, 2: 0, 3: 0, 4: 0}",1
5,True,"{'a': 0, 'e': 0}",25,9,26.312386595987583,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
6,True,"{'a': 0, 'e': 0}",20,12,11.414620446999287,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
7,True,"{'a': 0, 'e': 0}",25,3,40.02665369938444,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
8,True,"{'a': 0, 'e': 0}",20,8,20.099178282105843,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
9,True,"{'a': 0, 'e': 0}",20,2,25.477023577705005,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
10,True,"{'a': 0, 'e': 0}",20,2,34.21942945723855,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
